,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-10-16,70900.0,49050.0,58500.0,56100.0,32350.0,37900.0,66000.0,57950.0,57700.0,47550.0
2018-10-17,70900.0,51000.0,62900.0,58850.0,32200.0,37900.0,62900.0,52400.0,58450.0,48050.0
2018-10-18,70900.0,51000.0,62900.0,58850.0,32200.0,37900.0,62900.0,52400.0,58450.0,48050.0
2018-10-19,70900.0,51000.0,62900.0,58850.0,32200.0,37900.0,62900.0,52400.0,58450.0,48050.0
2018-10-20,,,,,,,,,,
2018-10-21,,,,,,,,,,
2018-10-22,70900.0,51000.0,62900.0,58850.0,32200.0,37900.0,62900.0,52400.0,58450.0,48050.0
2018-10-23,70900.0,51000.0,62900.0,58850.0,32200.0,37900.0,62900.0,52400.0,58450.0,48050.0
2018-10-24,70900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-10-25,70900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-10-26,70900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-10-27,,,,,,,,,,
2018-10-28,,,,,,,,,,
2018-10-29,70900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-10-30,70900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-10-31,60900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-11-01,60900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-11-02,60900.0,52250.0,65250.0,61700.0,31150.0,38450.0,62900.0,56150.0,58450.0,47200.0
2018-11-03,,,,,,,,,,
2018-11-04,,,,,,,,,,
